STOCKJOIN,SERIESNAME,Group,Year,Value,Stdev,Scale
none,bts_bootstrap,P.Cod,2001,1.163513128,0.235479706,1
none,bts_bootstrap,P.Cod,2003,1.110687251,0.182510004,1
none,bts_bootstrap,P.Cod,2005,1.080818946,0.281553902,1
none,bts_bootstrap,P.Cod,2007,0.858958781,0.129142228,1
none,bts_bootstrap,P.Cod,2009,2.595734372,0.66199776,1
none,bts_bootstrap,P.Cod,2011,1.737596354,0.246115075,1
none,bts_bootstrap,P.Cod,2013,1.80060015,0.28114124,1
none,bts_bootstrap,P.Cod,2015,0.924903713,0.098794085,1
none,bts_bootstrap,P.Halibut,1984,1.309744868,0.083739118,1
none,bts_bootstrap,P.Halibut,1987,1.483148697,0.186566549,1
none,bts_bootstrap,P.Halibut,1990,1.04076545,0.064365312,1
none,bts_bootstrap,P.Halibut,1993,1.831945064,0.188051501,1
none,bts_bootstrap,P.Halibut,1996,1.667380406,0.16203889,1
none,bts_bootstrap,P.Halibut,1999,1.938955666,0.229738859,1
none,bts_bootstrap,P.Halibut,2001,1.527712963,0.118799469,1
none,bts_bootstrap,P.Halibut,2003,2.172411745,0.278428035,1
none,bts_bootstrap,P.Halibut,2005,1.920140798,0.270604881,1
none,bts_bootstrap,P.Halibut,2007,1.427899257,0.153077405,1
none,bts_bootstrap,P.Halibut,2009,1.724820721,0.198690231,1
none,bts_bootstrap,P.Halibut,2011,1.238464828,0.093407571,1
none,bts_bootstrap,P.Halibut,2013,0.988294177,0.184035163,1
none,bts_bootstrap,P.Halibut,2015,1.084333077,0.049501987,1
none,bts_bootstrap,Pandalidae,1984,0.013815606,0.002617305,1
none,bts_bootstrap,Pandalidae,1987,0.018605762,0.005103295,1
none,bts_bootstrap,Pandalidae,1990,0.030937586,0.005009746,1
none,bts_bootstrap,Pandalidae,1993,0.026681389,0.002703585,1
none,bts_bootstrap,Pandalidae,1996,0.027027383,0.003176089,1
none,bts_bootstrap,Pandalidae,1999,0.027380465,0.004265052,1
none,bts_bootstrap,Pandalidae,2001,0.036865803,0.004890585,1
none,bts_bootstrap,Pandalidae,2003,0.042751753,0.008360099,1
none,bts_bootstrap,Pandalidae,2005,0.033952673,0.005413493,1
none,bts_bootstrap,Pandalidae,2007,0.030074073,0.004735174,1
none,bts_bootstrap,Pandalidae,2009,0.020217635,0.003349082,1
none,bts_bootstrap,Pandalidae,2011,0.024898189,0.004119728,1
none,bts_bootstrap,Pandalidae,2013,0.033710829,0.00504534,1
none,bts_bootstrap,Pandalidae,2015,0.041122525,0.006417752,1
none,bts_bootstrap,POP,1984,0.893514748,0.402750226,1
none,bts_bootstrap,POP,1987,0.927540593,0.297122262,1
none,bts_bootstrap,POP,1990,0.60849422,0.381642302,1
none,bts_bootstrap,POP,1993,2.046933124,0.688675416,1
none,bts_bootstrap,POP,1996,3.679169281,1.711979035,1
none,bts_bootstrap,POP,1999,2.34662742,1.675632592,1
none,bts_bootstrap,POP,2001,4.062096741,2.038266973,1
none,bts_bootstrap,POP,2003,2.013250623,0.515998949,1
none,bts_bootstrap,POP,2005,3.589304344,1.225293523,1
none,bts_bootstrap,POP,2007,3.104013753,0.760027796,1
none,bts_bootstrap,POP,2009,3.296457724,0.992332558,1
none,bts_bootstrap,POP,2011,3.503975617,0.906889659,1
none,bts_bootstrap,POP,2013,6.823703449,1.630570576,1
none,bts_bootstrap,POP,2015,6.488834542,1.457987293,1
none,bts_bootstrap,Pred.zoop,1984,NA,NA,1
none,bts_bootstrap,Pred.zoop,1987,0.0001137,8.81E-05,1
none,bts_bootstrap,Pred.zoop,1990,NA,NA,1
none,bts_bootstrap,Pred.zoop,1993,8.36E-05,6.22E-05,1
none,bts_bootstrap,Pred.zoop,1996,0.001234245,0.000593667,1
none,bts_bootstrap,Pred.zoop,1999,0.002838069,0.000925183,1
none,bts_bootstrap,Pred.zoop,2001,0.000139928,4.06E-05,1
none,bts_bootstrap,Pred.zoop,2003,0.000228659,4.67E-05,1
none,bts_bootstrap,Pred.zoop,2005,0.001205712,0.00036782,1
none,bts_bootstrap,Pred.zoop,2007,0.000453997,6.00E-05,1
none,bts_bootstrap,Pred.zoop,2009,0.000158711,0.00021675,1
none,bts_bootstrap,Pred.zoop,2011,0.000465412,8.43E-05,1
none,bts_bootstrap,Pred.zoop,2013,0.000703859,0.000339432,1
none,bts_bootstrap,Pred.zoop,2015,0.000414851,0.000115029,1
none,bts_bootstrap,Rockfish,1984,0.813303563,0.095438269,1
none,bts_bootstrap,Rockfish,1987,1.888195578,0.387215085,1
none,bts_bootstrap,Rockfish,1990,1.152264186,0.323313764,1
none,bts_bootstrap,Rockfish,1993,1.339920753,0.257982953,1
none,bts_bootstrap,Rockfish,1996,1.82777076,0.452792418,1
none,bts_bootstrap,Rockfish,1999,1.674324412,0.566063539,1
none,bts_bootstrap,Rockfish,2001,3.255100485,2.066160549,1
none,bts_bootstrap,Rockfish,2003,1.475946379,0.331723436,1
none,bts_bootstrap,Rockfish,2005,3.0952092,0.746878174,1
none,bts_bootstrap,Rockfish,2007,1.895196825,0.497964444,1
none,bts_bootstrap,Rockfish,2009,1.324465403,0.201089676,1
none,bts_bootstrap,Rockfish,2011,1.83450921,0.426975001,1
none,bts_bootstrap,Rockfish,2013,2.920546061,0.967857128,1
none,bts_bootstrap,Rockfish,2015,1.44250465,0.228822705,1
none,bts_bootstrap,Sablefish,1984,1.376383215,0.203097493,1
none,bts_bootstrap,Sablefish,1987,1.36408006,0.188546068,1
